season,title,airdate,rating,votes,description
3,Sister,2014-02-11,7.3,622,Jess tries to prevent Nick from meeting her irresponsible sister after bailing her out of jail. Schmidt asks Nick to attend a Bar Mitzvah with him. Winston and Bertie have dinner with Coach and Cece.
3,Sister II,2014-02-25,7.2,599,"When Abby announces that she is staying in the loft permanently, Nick is left to baby-sit her while Jess looks for a place for Abby to live. Winston is nervous about looking at the results of his LAPD entrance exam."
3,Sister III,2014-03-04,7.3,579,"Jealous of Schmidt and Abby's relationship, Jess moves into Nick's bedroom; however the living arrangement does not make either one of them happy. Meanwhile, Winston struggles to get into better shape for the LAPD obstacle course."
3,Fired Up,2014-03-11,7.7,585,"Jess hires, then has to immediately fire Coach as her school's new volleyball coach. Meanwhile, Schmidt gets sued, and Cece catches the eye of a much younger man."
3,Mars Landing,2014-03-25,7.4,638,"Jess and Nick face some truths about their relationship, Schmidt, Winston and Coach scramble to make a better second impression on their hot new neighbors, and Cece panics after she drunk-texts Buster."
3,Big News,2014-04-15,7.7,596,"The morning after their break-up, Jess and Nick try to keep it a secret from the rest of the gang. Meanwhile, Winston passes his police academy entrance exam, and demands that the gang throw him a ""Honey Roast""."
3,Dance,2014-04-29,7.5,589,Jess fears someone is trying to sabotage her first middle school dance and she enlists the gang to help her chaperone on the big night.
3,Cruise,2014-05-06,7.8,589,"Jess and Nick convince the others to go on a cruise with them, but the Grand Romantic package proves too hard to handle for the recent exes, and Schmidt, Winston, Coach and Cece have to repair their fractured friendship."
4,The Last Wedding,2014-09-16,7.7,702,Jess and Co. attend the last wedding of the summer season and make a bet to see which of them can get lucky.
4,Dice,2014-09-23,7.6,646,"Schmidt tutors Jess in the not-so-fine-art of dating via mobile apps. Meanwhile, Winston is desperate to make a good impression on his fellow police cadets, which backfires when Nick, Coach and Cece show up at a party thrown by fellow officers."
4,Julie Berkman's Older Sister,2014-09-30,7.3,619,"Jess's dad visits with his new fiancée, who went to high school with Jess. A suspicious Jess attempts to ruin their relationship. Meanwhile, Schmidt is trying to land a sponge ad campaign and enlists the guys' help to disastrous results."
4,Micro,2014-10-07,7.4,620,"Nick hatches a bet with Jess that she's just as superficial as the rest of the guys when it comes to dating. Meanwhile, Winston and Cece team up to trick Schmidt and Coach into thinking they're going to be models."
4,Landline,2014-10-14,8.1,701,"When Coach's liaison with the school nurse gets messy, vice principal Jess must enforce a new, ""no fraternization"" policy among the teachers. But the tables soon get turned when she finds herself attracted to the hot new science teacher. Meanwhile, Nick is enjoying being Schmidt and Winston's secretary, after the loft gets a new home phone."
4,Background Check,2014-11-04,8.7,970,"Jess admits she might be in possession of certain illegal substances, which complicates Winston's plans as the loft must pass a home visit and a background check as a part of his police academy training. Schmidt kisses Cece."
4,Goldmine,2014-11-11,8.2,687,"Nick pretends to be gay so that Jess's new boyfriend will feel less threatened. Coach is annoyed at Winston for working his ""Long Game"" on two attractive neighbors. Meanwhile, Schmidt is bummed to learn Cece is considering having her breasts reduced."
4,Teachers,2014-11-18,8.1,670,"Jess, Coach and Ryan attend a teacher's conference, led by education guru Brenda Brown. Back at the loft, Nick, Schmidt and Winston try to have a wild weekend while Jess is out of town."
4,Thanksgiving IV,2014-11-25,8.2,653,"With winter coming and everyone still single, Schmidt initiates a ""Bangs-giving""-themed Thanksgiving dinner party, to which everyone must bring someone compatible for someone else."
4,Girl Fight,2014-12-02,7.7,588,"Schmidt quickly regrets trying to understand the politics of a girl fight when one breaks out between Jess and Cece. Meanwhile, Nick goes on a date with Tran's granddaughter, whom Winston believes is hiding a secret."
4,LAXmas,2014-12-09,7.6,601,"As the gang prepares to depart for the holidays, they quickly find they may be home alone when they are all trapped at the airport."
4,Shark,2015-01-06,7.5,540,Nick and Coach become concerned when they meet Winston's new training officer; Jess uses Schmidt in hope of influencing a councilwoman to stop the night construction taking place outside the loft.
4,Coming Out,2015-01-13,7.3,545,"Jessica reveals her relationship to the other teachers, which upsets them. They think her field trip choice has been unduly influenced by her relationship."
4,Swuit,2015-02-03,7.2,542,"Jess helps Schmidt and Nick pitch their new business venture to entrepreneur Lori Greiner. Meanwhile, Winston and Coach decide they will invest in Cece's future."
4,The Crawl,2015-02-10,7.7,580,"When a new bar opens in the area, it's the final piece of the puzzle for Nick's epic Valentine's Day pub crawl. Jess and Ryan ponder their future."
4,Oregon,2015-02-17,7.5,552,"Jess takes a bumpy stroll down memory lane when she and the gang travel to her childhood home in Portland, Oregon, for her father's wedding."
4,Spiderhunt,2015-02-24,8.2,633,Schmidt invites his girlfriend over for Nick's famous sauce. Jess tries to figure out who CeCe likes and Winston tries to keep it a secret.
4,Walk of Shame,2015-03-03,7.6,575,Jess and Cece have a walk of shame after a crazy night out.
4,The Right Thing,2015-03-31,7.5,536,"Jess crashes a funeral, hoping to delete a ""sext"" she recently sent to the deceased. Then, Schmidt's mom, Louise arrives in town for a visit, and Winston is desperate to be off-duty friends with his police partner, Aly."
4,Par 5,2015-04-07,7.5,543,"Fawn takes Jess to a charity golf tournament, but the Vice Principal lands in the sand trap in her attempts to make a good impression. Meanwhile, Winston meets a beautiful woman and must lie about being a cop."
4,Panty Gate,2015-04-28,7.7,556,"Schmidt takes the fall to help Fawn out of a political scandal. Meanwhile, Jess declares herself a ""love doctor"" and Coach faces a life-changing decision with May."
4,Clean Break,2015-05-05,9,1190,Coach debates with his friends on what he should take to New York. Jess and Nick argue over a mug from their relationship. Schmidt learns of Cece's feelings for him.
5,Big Mama P,2016-01-05,7.8,653,"When Cece and Schmidt ask Jess and Nick to be their Maid of Honor and Best Man, respectively, their first task is to plan the engagement party. But when Jess invites Cece's mom to join in the celebration, Cece is forced to make a surprising announcement to Schmidt."
5,What About Fred,2016-01-12,7.3,550,"Jess jumps back into the dating pool, but her attempt lands her a dud (guest star Taran Killam), and things get complicated when she falls in love with his perfect parents (guest stars Henry Winkler and Julie Hagerty). Meanwhile, Nick and Schmidt have very different ideas about how to run the bar."
5,Jury Duty,2016-01-19,7.7,541,"Jess eagerly reports to jury duty, until she discovers she may be up for a work promotion. Meanwhile, Nick reaches his limit with Cece's messiness in the loft."
5,No Girl,2016-01-26,7.5,541,"With Jess sequestered at jury duty, Nick turns the loft into an air b-n-b in order to help pay for Schmidt's upcoming bachelor party. Meanwhile, Winston asks Cece for help when he suspects KC is cheating on him in the all-new."
5,Bob & Carol & Nick & Schmidt,2016-02-02,7.4,550,"Schmidt helps Nick ponder his future after Nick's cousin and his wife visit to ask for a very special handout. Meanwhile, Winston helps Cece shop for a wedding dress."
5,Reagan,2016-02-09,7.7,642,A beautiful pharmaceutical rep enters the gang's life when she agrees to sublet Jess' room while she is on jury duty.
5,Wig,2016-02-16,7.4,558,"When Nick's attraction to Reagan starts affecting Schmidt and Cece's relationship, they enact a plan to demystify her, in hopes of helping Nick get over her. Meanwhile, Winston teaches Reagan the art of the breakup."
5,The Decision,2016-02-23,7.4,541,"Reagan causes chaos between Nick and Winston when she tells them she'll sleep with just one of them in an attempt to challenge the guys' indecisiveness. Meanwhile, Schmidt is reunited with his college frenemy, Benjamin, when looking at wedding venues with Cece."
5,Heat Wave,2016-03-01,7.4,545,"Things heat up between Nick and Reagan over who can provide the loft with the best air conditioning unit. Meanwhile, Winston uses his ""cop voice"" to help Schmidt prep Cece for a newscaster audition."
5,Goosebumps Walkaway,2016-03-08,7.6,547,"Jess returns from jury duty and attempts to uncover the real identity of a juror sequestered with her. Meanwhile, Reagan prepares to move out of the loft and out of Nick's life, and Winston and Cece help Schmidt get over his fear of public dancing."
5,The Apartment,2016-03-15,7.5,494,"It's time for Cece to move into the loft. While Jess is helping her friend move out of her beloved apartment, she has to finish the school's budget by morning, which the new principal has neglected to tell her. Meanwhile, Winston gets a new partner to avoid having to work side-by-side with Aly."
5,D-Day,2016-03-22,7.9,529,"After Cece receives an exciting new job offer, Jess agrees to help Schmidt with the wedding preparations, but things don't go as planned when Schmidt's dad, Gavin, appears. Meanwhile, Winston and Nick get into a competition over whose job is harder."
5,"Sam, Again",2016-03-29,7.2,507,"Jess applies for a job at a progressive new school, but things take a turn when she finds out the principal is dating her ex-boyfriend, Sam. Meanwhile, Nick gets a cold and Schmidt quarantines the roommates to prevent himself from getting sick before his big presentation."
5,300 Feet,2016-04-12,7.2,500,"When Jess is served a restraining order by her former boyfriend, Sam, she sets out to clear her name with Winston's help. Nick and Schmidt plot against the owner of a trendy new bar that opened on their street."
5,Jeff Day,2016-04-19,7.3,480,"To turn the tables on a sexist car salesman, Jess invents a male alter ego, which backfires on her. Schmidt and Cece panic over Winston's date, his new prankster girlfriend, to their wedding."
5,Helmet,2016-04-19,7.7,483,"Despite being happy with Sam, Jess confesses to Cece that she had a sex dream about Nick. And Schmidt attempts to help Winston land Furguson a cat audition when he finds out Aly's star boyfriend is a talent agent for pets."
5,Road Trip,2016-04-26,7.7,545,"After being emasculated in front of Cece, Schmidt insists on a manly bachelor party weekend in Vegas, but the road trip goes awry when the guys end up at a desert biker bar and he must put his newfound bravado to the test."
5,A Chill Day In,2016-04-26,8.1,558,"Cece and Jess try to have a ""chill day"" celebrating Cece's bachellorette party."
5,Dress,2016-05-03,7.3,454,The wedding is coming up and Jess hasn't finished Cece's wedding dress. Schmidt has been ignoring work while doing the wedding planning.
5,Return to Sender,2016-05-03,7.4,458,Jess is introduced to Sam's female best friend; Nick worries that Gavin will leave Schmidt disappointed again; Winston isn't happy about someone's reaction to a birthday present.
5,Wedding Eve,2016-05-10,8.2,557,"On the night before the wedding, Nick and Winston try to help Schmidt re-write his vows and Jess, thinking that Sam is going to propose to her, rallies the gang into playing True American to avoid giving him an answer."
5,Landing Gear,2016-05-10,8.8,789,"Schmidt makes a last ditch effort to convince Cece's mom to come to their wedding, but in doing so, he might miss the special day himself."
6,House Hunt,2016-09-20,7.6,521,"Schmidt and Cece have a hard time looking for their new house. In the meantime, Jess attempts to get Nick out of her mind when he returns earlier than expected and Winston tries having a long-distance relationship with Aly."
6,Hubbedy Bubby,2016-09-27,6.5,619,"Jess and Cece attempt to recruit voters for the upcoming Presidential election to win a bet with Schmidt, while Nick learns the ways of modern phone sex from Winston."
6,Single and Sufficient,2016-10-04,7.3,470,"Jess and members of her singles-only group accompany Schmidt, Cece, Winston and Aly on a glamping trip, while Nick struggles with the next chapter of his novel set in New Orleans."
6,Homecoming,2016-10-11,7.5,528,"On a trip to New York, Jess helps detective Jake Peralta with a case and meets Captain Ray Holt and Gina Linetti at his precinct, while Nick and Winston attempt to impress Charles Boyle and Cece faces off with her mother-in-law."
6,Jaipur Aviv,2016-10-18,7.5,444,"While the gang helps Schmidt and Cece remodel their fixer-upper, Jess spearheads a vote to let Reagen eventually move back into the loft; Nick and Winston make a revealing discovery."
6,Ready,2016-11-15,7.4,433,"When Jess announces she's ready to start dating again, Schmidt encourages her to give workout partner a chance."
6,Last Thanksgiving,2016-11-22,7.3,425,"Jess and the gang are determined to have the best Thanksgiving ever, but everything falls through when Robby shows up unexpectedly and Schmidt's father arrives with a broken heart."
6,James Wonder,2016-11-29,7.5,438,"Jess tries to impress the president of the Parents' Council to become the principal of her school. Meanwhile, Winston puts his undercover skills to the test and Nick tries to find the perfect wedding gift for Schmidt and Cece."
6,Es Good,2016-12-06,7.2,421,Schmidt enlists Nick's help to earn his house contractor's respect. Jess and Robby test their ability of being in a casual relationship. Winston and Cece discuss the pros and cons of not being single.
6,Christmas Eve Eve,2016-12-13,7.6,444,Jess plays Secret Santa for the loft.
6,Raisin's Back,2017-01-03,7.5,425,"Nick tries to keep cool when Regan moves into the loft, while Cece and Winston challenge Schmidt's love of electronic dance music."
6,The Cubicle,2017-01-10,7.4,405,Jess goes to the extremes to pay Robby's medical bills upon learning the total.
6,Cece's Boys,2017-01-17,7.5,423,Cecelia enlists Jess and Reagan to help recruit new models.
6,The Hike,2017-01-24,7.6,426,"While on a day hike, Jess and Robby discover something unexpected about their relationship. Also, Winston throws a surprise welcome home party for Aly. Meanwhile, Schmidt and Cece fail to impress their new neighbors."
6,Glue,2017-02-07,7.8,444,Jess helps Nick out when Reagan lands him a book signing.
6,Operation: Bobcat,2017-02-14,7.8,433,Jess tries to convince the gang that she's fine being single on Valentine's Day.
6,Rumspringa,2017-02-21,7.2,406,Nick and Schmidt take Jess on a trip to Solvang when she gets nervous about her new job as principal.
6,Young Adult,2017-02-28,7.6,386,"Jess recruits Nick and ""The Pepperwood Chronicles"" to help make her a cool principal."
6,Socalyalcon VI,2017-03-14,7.7,402,Jess thinks she's been spending too much time acting like Reagan; Schmidt and Cece try to make their new home more secure; Aly tells Winston an embarrassing secret.
6,Misery,2017-03-21,7.6,406,"Jess avoids her feelings for Nick by taking care of her dad (guest star Rob Reiner) in Portland. While attending a work party with Reagan, Nick panics that they really don't know each other. Meanwhile, Aly prepares to meet Winston's mom (guest star Anna Maria Horsford) for the first time, as Winston admits he hasn't told her they are cops."
6,San Diego,2017-03-28,8.3,460,Jess and her dad help each other with their love lives; Nick turns to Aly for help with Reagan; Schmidt considers revealing his first name.
6,Five Stars for Beezus,2017-04-04,9.2,942,"Jess prepares to tell Nick how she really feels about him. In other events, Nick has a meeting with a book publisher, Aly helps Winston reconnect with someone important and big news comes along for Schmidt and Cece."
7,About Three Years Later,2018-04-10,7.3,510,Nick and Jess return from their European romance tour. Cece and Schmidt have issues perfecting their daughter's birthday party. Winston struggles with picking the optimal glamour photo for him and Aly.
7,Tuesday Meeting,2018-04-17,7.1,413,Winston and Schmidt help Nick write his new book. Jess and Cece go to lunch and discuss their new jobs. Winston watches three men and a lady.
7,Lillypads,2018-04-24,7.3,395,Schmidt and Jess clash over how to best prepare Ruth for preschool. Nick helps Winston to face his fears while trying to write some pages for his editor.
7,Where the Road Goes,2018-05-01,7.4,399,"The gang gathers for a one-year memorial service for a beloved friend. Meanwhile, Jess discovers Coach owes Nick a large sum of money."
7,Godparents,2018-05-08,7.2,370,"Winston and Aly choose a godparent for their baby, and Winston struggles with the reality of becoming a father. Schmidt returns to work while Cece takes her turn being a stay-at-home parent and Nick tries to make Ruth like him."
7,Mario,2018-05-08,7.9,396,Nick's plan to propose to Jess is thrown off course when they decide to get a dog; Winston sees color for the first time.
7,The Curse of the Pirate Bride,2018-05-15,8.1,419,"Jess makes some big decisions, in the first part of the special, one-hour series finale"
7,Engram Pattersky,2018-05-15,8.4,599,"The gang get ready to say goodbye to the loft, but Jess isn't happy with how everyone is coping with their emotions"
